"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Latvia,750683,6250.0,5450.0,6.0,647896.0,3607.0,97337.0,41.0,405605.0,2945.0,6924994.0,3741677.0,1850773.0,Europe,2.0,340.0,0.0,3377.0,3.0,52593.0
Saudi Arabia,749044,129.0,9021.0,1.0,731219.0,215.0,8804.0,256.0,20961.0,252.0,41284790.0,1155318.0,35734581.0,Asia,48.0,3961.0,1.0,4.0,0.03,246.0
Sri Lanka,656814,428.0,16415.0,8.0,619073.0,112.0,21326.0,,30456.0,761.0,6368159.0,295290.0,21565778.0,Asia,33.0,1314.0,3.0,20.0,0.4,989.0
Paraguay,646283,229.0,18552.0,4.0,621240.0,408.0,6491.0,77.0,88759.0,2548.0,2561955.0,351852.0,7281345.0,South America,11.0,392.0,3.0,31.0,0.5,891.0
Kuwait,626384,270.0,2552.0,,620141.0,469.0,3691.0,9.0,143081.0,583.0,7763313.0,1773325.0,4377828.0,Asia,7.0,1715.0,1.0,62.0,,843.0
Myanmar,606910,683.0,19414.0,3.0,559673.0,937.0,27823.0,,11029.0,353.0,7422318.0,134879.0,55029436.0,Asia,91.0,2835.0,7.0,12.0,0.05,506.0
Palestine,579923,,5321.0,,570740.0,,3862.0,58.0,109363.0,1003.0,3078533.0,580558.0,5302711.0,Asia,9.0,997.0,2.0,,,728.0
Dominican Republic,576788,90.0,4374.0,,572028.0,131.0,386.0,23.0,52280.0,396.0,3174924.0,287774.0,11032690.0,North America,19.0,2522.0,3.0,8.0,,35.0
Bahrain,539988,1194.0,1464.0,1.0,526515.0,1731.0,12009.0,8.0,299676.0,812.0,9516707.0,5281464.0,1801907.0,Asia,3.0,1231.0,0.0,663.0,0.6,6665.0
Estonia,534787,2705.0,2367.0,8.0,433572.0,1178.0,98848.0,19.0,402686.0,1782.0,3183507.0,2397127.0,1328051.0,Europe,2.0,561.0,0.0,2037.0,6.0,74431.0
Venezuela,518750,290.0,5661.0,2.0,510005.0,255.0,3084.0,230.0,18331.0,200.0,3359014.0,118697.0,28299060.0,South America,55.0,4999.0,8.0,10.0,0.07,109.0
Moldova,508578,343.0,11357.0,7.0,491634.0,641.0,5587.0,87.0,126574.0,2827.0,3094224.0,770084.0,4018035.0,Europe,8.0,354.0,1.0,85.0,2.0,1390.0
Libya,500497,193.0,6354.0,4.0,484591.0,636.0,9552.0,119.0,71195.0,904.0,2457789.0,349615.0,7029980.0,Africa,14.0,1106.0,3.0,27.0,0.6,1359.0
Egypt,495373,,24277.0,,424831.0,,46265.0,122.0,4691.0,230.0,3693367.0,34971.0,105611495.0,Africa,213.0,4350.0,29.0,,,438.0
Ethiopia,469291,69.0,7486.0,,421500.0,15.0,40305.0,50.0,3917.0,62.0,4576756.0,38204.0,119796872.0,Africa,255.0,16003.0,26.0,0.6,,336.0
Mongolia,467100,97.0,2177.0,,313256.0,,151667.0,192.0,138690.0,646.0,4030048.0,1196592.0,3367939.0,Asia,7.0,1547.0,1.0,29.0,,45033.0
Armenia,422076,55.0,8579.0,3.0,408799.0,237.0,4698.0,,141986.0,2886.0,2938644.0,988560.0,2972652.0,Asia,7.0,347.0,1.0,19.0,1.0,1580.0
Honduras,417201,472.0,10842.0,8.0,131100.0,,275259.0,105.0,41014.0,1066.0,1263329.0,124195.0,10172115.0,North America,24.0,938.0,8.0,46.0,0.8,27060.0
New Zealand,399342,21657.0,117.0,8.0,205975.0,18859.0,193250.0,,79835.0,23.0,6842694.0,1367964.0,5002100.0,Australia/Oceania,13.0,42753.0,1.0,4330.0,2.0,38634.0
Oman,386829,183.0,4250.0,,379788.0,225.0,2791.0,19.0,72616.0,798.0,25000000.0,4693028.0,5327051.0,Asia,14.0,1253.0,0.0,34.0,,524.0
Bosnia and Herzegovina,373506,147.0,15641.0,6.0,192218.0,,165647.0,,115061.0,4818.0,1725264.0,531480.0,3246150.0,Europe,9.0,208.0,2.0,45.0,2.0,51029.0
Cyprus,360078,3294.0,904.0,2.0,124370.0,,234804.0,60.0,294593.0,740.0,9477138.0,7753598.0,1222289.0,Asia,3.0,1352.0,0.0,2695.0,2.0,192102.0
Qatar,359361,102.0,677.0,,357549.0,158.0,1135.0,3.0,127986.0,241.0,3395654.0,1209362.0,2807805.0,Asia,8.0,4147.0,1.0,36.0,,404.0
Kenya,323204,9.0,5647.0,1.0,317503.0,12.0,54.0,1.0,5794.0,101.0,3448106.0,61814.0,55781934.0,Africa,173.0,9878.0,16.0,0.2,0.02,1.0
Réunion,318695,8514.0,689.0,9.0,306072.0,7990.0,11934.0,41.0,351696.0,760.0,1535875.0,1694916.0,906166.0,Africa,3.0,1315.0,1.0,9396.0,10.0,13170.0
Zambia,315202,,3960.0,,309765.0,,1477.0,3.0,16368.0,206.0,3310740.0,171918.0,19257651.0,Africa,61.0,4863.0,6.0,,,77.0
North Macedonia,301895,312.0,9155.0,5.0,290617.0,,2123.0,,144917.0,4395.0,1904444.0,914179.0,2083229.0,Europe,7.0,228.0,1.0,150.0,2.0,1019.0
Albania,272711,22.0,3486.0,1.0,268563.0,152.0,662.0,13.0,94940.0,1214.0,1761701.0,613308.0,2872459.0,Europe,11.0,824.0,2.0,8.0,0.3,230.0
Algeria,265478,21.0,6868.0,2.0,178094.0,21.0,80516.0,6.0,5874.0,152.0,230861.0,5108.0,45195539.0,Africa,170.0,6581.0,196.0,0.5,0.04,1782.0
Botswana,263950,,2619.0,,259434.0,,1897.0,1.0,108521.0,1077.0,2026898.0,833347.0,2432239.0,Africa,9.0,929.0,1.0,,,780.0
Nigeria,255001,,3142.0,,249373.0,,2486.0,11.0,1187.0,15.0,4589725.0,21366.0,214811319.0,Africa,842.0,68368.0,47.0,,,12.0
Zimbabwe,243365,456.0,5417.0,1.0,232787.0,362.0,5161.0,12.0,15979.0,356.0,2137216.0,140326.0,15230365.0,Africa,63.0,2812.0,7.0,30.0,0.07,339.0
